"filename", "language", "YAML", "Markdown", "Ruby", "HTML", "JSON", "MS SQL", "JavaScript", "SCSS", "vue", "JSON with Comments", "XML", "TypeScript", "Shell Script", "Docker", "Ignore", "Properties", "TOML", "Makefile", "comment", "blank", "total"
"/home/moura/projetos/chatwoot/chatwoot/.github/workflows/run_foss_spec.yml", "YAML", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13, 82
"/home/moura/projetos/chatwoot/chatwoot/.github/workflows/size-limit.yml", "YAML", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 53
"/home/moura/projetos/chatwoot/chatwoot/.github/workflows/stale.yml", "YAML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 29
"/home/moura/projetos/chatwoot/chatwoot/.github/workflows/test_docker_build.yml", "YAML", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"/home/moura/projetos/chatwoot/chatwoot/.qlty/configs/.hadolint.yaml", "YAML", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/home/moura/projetos/chatwoot/chatwoot/.qlty/configs/.yamllint.yaml", "YAML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/home/moura/projetos/chatwoot/chatwoot/.qlty/qlty.toml", "TOML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 13, 12, 85
"/home/moura/projetos/chatwoot/chatwoot/.rubocop.yml", "YAML", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 88, 348
"/home/moura/projetos/chatwoot/chatwoot/.scss-lint.yml", "YAML", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 67, 287
"/home/moura/projetos/chatwoot/chatwoot/.windsurf/rules/chatwoot.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"/home/moura/projetos/chatwoot/chatwoot/AGENTS.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"/home/moura/projetos/chatwoot/chatwoot/CLAUDE.md", "Markdown", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 76
"/home/moura/projetos/chatwoot/chatwoot/CODE_OF_CONDUCT.md", "Markdown", 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 129
"/home/moura/projetos/chatwoot/chatwoot/CONTRIBUTING.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"/home/moura/projetos/chatwoot/chatwoot/CUSTOM_BRANDING.md", "Markdown", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 74
"/home/moura/projetos/chatwoot/chatwoot/Capfile", "Ruby", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 13
"/home/moura/projetos/chatwoot/chatwoot/Gemfile", "Ruby", 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 72, 41, 257
